id,photo,web_name,team_code,status,code,first_name,second_name,squad_number,news,now_cost,chance_of_playing_this_round,chance_of_playing_next_round,value_form,value_season,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,in_dreamteam,dreamteam_count,selected_by_percent,form,transfers_out,transfers_in,transfers_out_event,transfers_in_event,loans_in,loans_out,loaned_in,loaned_out,total_points,event_points,points_per_game,ep_this,ep_next,special,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,element_type,team
537,66247.jpg,Zeegelaar,57,a,66247,Marvin,Zeegelaar,22,"",44,,,0.0,0.0,-1,0,1,0,false,0,0.0,0.0,451,611,0,0,0,0,0,0,0,0,0.0,0.0,-0.5,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,18
538,74375.jpg,Schelotto,36,a,74375,Ezequiel,Schelotto,21,"",44,,,0.1,0.5,-1,0,1,0,false,0,0.0,0.5,376,479,0,0,0,0,0,0,2,0,1.0,0.0,0.5,false,24,0,0,0,0,0,0,0,0,0,0,0,6,4.6,14.5,2.0,2.1,0,2,3
539,180151.jpg,Vlasic,11,a,180151,Nikola,Vlasic,27,"",55,,,0.3,1.3,0,0,0,0,false,0,0.0,1.5,923,2027,0,1,0,0,0,0,7,0,1.8,1.5,2.0,false,258,0,0,0,7,0,0,0,0,0,0,0,35,47.4,71.4,40.0,15.8,0,3,7
540,20480.jpg,Krul,36,a,20480,Tim,Krul,26,"",40,100,100,0.0,0.0,0,0,0,0,false,0,0.9,0.0,12394,48860,5,2,0,0,0,0,0,0,0.0,-0.5,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3
541,60598.jpg,Dragovic,13,a,60598,Aleksandar,Dragovic,16,"",50,,,0.0,0.0,0,0,0,0,false,0,0.0,0.0,678,820,0,0,0,0,0,0,0,0,0.0,0.0,0.5,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,9
542,57001.jpg,Bony,80,i,57001,Wilfried,Bony,2,Hamstring injury - Expected back 04 Nov,58,0,0,0.1,1.2,-2,0,2,0,false,0,0.2,0.3,48789,54041,13,1,0,0,0,0,7,0,1.8,0.0,0.0,false,168,0,1,0,2,0,0,0,1,0,0,0,15,11.8,15.1,52.0,7.1,0,4,16
543,105700.jpg,Zappacosta,8,a,105700,Davide,Zappacosta,21,"",59,,,0.1,0.5,-1,0,1,0,false,0,0.1,0.5,10742,13461,5,2,0,0,0,0,3,0,1.0,2.0,1.0,false,70,0,0,0,1,0,0,0,0,0,0,0,8,17.2,5.0,25.0,4.5,0,2,5
544,221245.jpg,Lumeka,31,a,221245,Levi,Lumeka,32,"",45,,,0.0,0.2,0,0,0,0,false,0,0.0,0.0,250,367,0,0,0,0,0,0,1,0,1.0,0.0,-1.0,false,25,0,0,0,0,0,0,0,0,0,0,0,3,4.2,0.5,18.0,2.3,0,3,6
545,28609.jpg,Legzdins,90,a,28609,Adam,Legzdins,30,"",40,,,0.0,0.0,0,0,0,0,false,0,0.1,0.0,1697,6330,0,0,0,0,0,0,0,0,0.0,0.5,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4
546,154043.jpg,Maitland-Niles,3,a,154043,Ainsley,Maitland-Niles,30,"",45,,,0.0,0.2,0,0,0,0,false,0,0.0,0.0,408,647,2,1,0,0,0,0,1,0,1.0,1.0,-0.5,false,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,3,1
547,1243.jpg,Green,38,a,1243,Robert,Green,28,"",40,,,0.0,0.0,0,0,0,0,false,0,0.1,0.0,1265,5857,0,2,0,0,0,0,0,0,0.0,-1.0,0.0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,8
548,113688.jpg,Niasse,11,a,113688,Oumar,Niasse,34,"",49,,,0.4,3.9,-1,0,1,0,false,0,2.4,2.0,87614,195255,58,41,0,0,0,0,19,0,4.8,2.0,2.5,false,152,3,0,0,4,0,0,0,1,0,0,3,68,101.0,13.3,130.0,24.1,0,4,7
